fechas,INPC,Inflación
1970-01-01,0.012197614897229,0.05198626180810173
1970-02-01,0.01219617988536,0.04810073273054227
1970-03-01,0.01223206037322,0.05014768283603055
1970-04-01,0.012247845508294,0.04866060794381544
1970-05-01,0.012273680910061,0.05087263520241447
1970-06-01,0.012348311911022,0.05350831169870829
1970-07-01,0.01240858760818,0.054647607035644086
1970-08-01,0.012465993280846,0.05836447696071878
1970-09-01,0.012496133719725,0.05106233717684172
1970-10-01,0.012500438756085,0.04049689479259033
1970-11-01,0.012567894695444,0.04598677457695266
1970-12-01,0.012674095966554,0.046947241743565016
1971-01-01,0.01279895757858,0.049300021882770606
1971-02-01,0.012852058214135,0.053777357741525256
1971-03-01,0.012900853812579,0.0546754527817086
1971-04-01,0.012966874739317,0.05870658888831404
1971-05-01,0.012994145153705,0.05869993271972884
1971-06-01,0.013052985838241,0.0570664178469622
1971-07-01,0.013042940752149,0.051122107043900966
1971-08-01,0.013162057133842,0.055837014934501994
1971-09-01,0.013205112683304,0.05673586562697275
1971-10-01,0.013218032974488,0.05740552251045483
1971-11-01,0.013239558159294,0.053442798505742184
1971-12-01,0.013302709061542,0.04959825905112791
1972-01-01,0.013361549746078,0.043956092833649096
1972-02-01,0.013403170283671,0.04288123041100733
1972-03-01,0.013476366272012,0.044610416317705015
1972-04-01,0.013561042358315,0.04582196025973917
1972-05-01,0.013588307592103,0.04572539642814344
1972-06-01,0.013688768814232,0.048707857640384544
1972-07-01,0.013740439617765,0.053477116769167
1972-08-01,0.013830855753801,0.050812620942010556
1972-09-01,0.013894001475449,0.052168338784113644
1972-10-01,0.013904046561542,0.05189982415523309
1972-11-01,0.013994462697578,0.05701886189865535
1972-12-01,0.014041828464751,0.05556157018766861
1973-01-01,0.0142456209335,0.06616531796257386
1973-02-01,0.014363307483172,0.07163508178887557
1973-03-01,0.014489604107068,0.07518627904617836
1973-04-01,0.014719231977583,0.08540564867108857
1973-05-01,0.014875669040357,0.09474038172363453
1973-06-01,0.014997655446541,0.09561755699666508
1973-07-01,0.015382285367961,0.11949004514187878
1973-08-01,0.015629138566771,0.13001963471969513
1973-09-01,0.016000848196256,0.15163714531985928
1973-10-01,0.016206080857473,0.1655657786919622
1973-11-01,0.01640557346971,0.17229034256165376
1973-12-01,0.01704279145757,0.21371597013539034
1974-01-01,0.017652744212393,0.2391698680456118
1974-02-01,0.018051724256265,0.25679438927380316
1974-03-01,0.018190941171344,0.25544777047914624
1974-04-01,0.018437789189555,0.2526325570271102
1974-05-01,0.018582746153615,0.2492040595418512
1974-06-01,0.018766448450177,0.2512921447668821
1974-07-01,0.019037696858285,0.23763773736363492
1974-08-01,0.019238624482391,0.23094592835040229
1974-09-01,0.019456772254943,0.21598380387707472
1974-10-01,0.019842832007633,0.2244065781322453
1974-11-01,0.020393944077168,0.24311070959036107
1974-12-01,0.020553251164433,0.20597915051666815
1975-01-01,0.020815889498317,0.17918717044023857
1975-02-01,0.020930700842899,0.15948485284638814
1975-03-01,0.021062737516527,0.15786958564337006
1975-04-01,0.021240699763357,0.1520198839994249
1975-05-01,0.021524868462648,0.15832548562585047
1975-06-01,0.021890838043152,0.16648805986225534
1975-07-01,0.022065930265491,0.15906511327225736
1975-08-01,0.022256812804255,0.15688171078065016
1975-09-01,0.022418984735411,0.1522458320246538
1975-10-01,0.022533801260593,0.1356141730134519
1975-11-01,0.022691673335988,0.11266723347507956
1975-12-01,0.02287681064442,0.11305070236322878
1976-01-01,0.023318846237755,0.12024260311529655
1976-02-01,0.023755141782108,0.1349424923899396
1976-03-01,0.023987639677114,0.1388661924069441
1976-04-01,0.024155556838602,0.13722980446592947
1976-05-01,0.02432490901196,0.13008397956860462
1976-06-01,0.024422500208847,0.11564939454142853
1976-07-01,0.024629167882685,0.1161626809454146
1976-08-01,0.024864535802933,0.11716515844440512
1976-09-01,0.025712731681591,0.14691775676074648
1976-10-01,0.027160830049132,0.20533725025039273
1976-11-01,0.028387910619629,0.25102764345752404
1976-12-01,0.02909975960845,0.2720199533385512
1977-01-01,0.030026891525182,0.2876662601156552
1977-02-01,0.03068994491556,0.2919285095016855
1977-03-01,0.031225266669421,0.3017231828445479
1977-04-01,0.031697442701635,0.31222156928217126
1977-05-01,0.031975866170593,0.31453178940448234
1977-06-01,0.032367671152864,0.32532176788103295
1977-07-01,0.032733645913967,0.32906016435007857
1977-08-01,0.033405309377817,0.34349217868272186
1977-09-01,0.033998041984945,0.32222598539718184
1977-10-01,0.034257810294339,0.2612946744399589
1977-11-01,0.034632389948314,0.21996966991882871
1977-12-01,0.03511174104213,0.20659900681565224
1978-01-01,0.035892480982932,0.1953445448334481
1978-02-01,0.036407712564607,0.1863075240043215
1978-03-01,0.036786597255694,0.17810354176155774
1978-04-01,0.03719562756626,0.1734583107028187
1978-05-01,0.037560162134143,0.17464095995891027
1978-06-01,0.038076828728439,0.17638456435781702
1978-07-01,0.038722661971122,0.1829620835056316
1978-08-01,0.03910872690366,0.17073386333103047
1978-09-01,0.039555067534107,0.16345134086318147
